#TIC ID,CTOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Midpoint (BJD),Midpoint err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Radius (R_Earth),Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
13737885,13737885.01,,,,,,,,PC,,11.5546,0.007,133.755772,-9.1652,0.098,0.062,-6.967,0.065,2458516.8579,.0024,4.46605,0.00075,4.432324,,4074,,0.22,0.009,85.61,1.22,.47,.1,.063,.008,6.16,.28,14.86,2.64,,,,,,,.22,.06,,,,,,,,,,,713.283,19.7345,6329,118.732,3.8661,.0879141,2.15993,.107136,2020-08-10 07:20:18,montalto,,29382,"new CTOI, Montalto et al. (2020)"
24251313,24251313.01,,,,,,,,PC,,11.8183,0.007,15.716487,-10.910645,17.4,0.074,-6.396,0.054,2458385.5394,.0012,0.64019,0.00006,5.002637,,4597,,0.056,0.004,59.57,4.92,.94,.01,.064,.009,1.84,.34,9.72,1.77,,,,,,,.29,.14,,,,,,,,,,,448.959,6.968,5801,121.793,4.16858,.0754658,1.39079,.0668316,2020-08-10 07:20:18,montalto,,29389,"new CTOI, Montalto et al. (2020)"
24358417,24358417.01,,,,,,,,PC,,11.7024,0.006,81.344582,-34.668249,38,0.032,18.022,0.036,2458436.0922,.001,22.65912,,11.298122,,10352,,0.156,0.004,87.38,.23,.97,.01,.074,.021,21.25,2,9.02,2.99,,,,,,,.35,.15,,,,,,,,,,,313.996,1.968,5523,131.676,4.32874,.0825504,1.117,.060098,2020-08-10 07:20:18,montalto,,29452,"new CTOI, Montalto et al. (2020)"
24695044,24695044.01,,,,,,,,PC,,10.9916,0.006,34.840097,-72.708894,-16.306,0.043,-55.689,0.036,2458323.1635,.0009,4.16451,0.00002,8.536961,,7832,,0.092,0.003,83.55,.31,.92,.01,.079,.008,8.17,.36,8.05,1.27,,,,,,,.59,.15,,,,,,,,,,,174.267,.653,5296,125.124,4.45693,.0800897,.933443,.0508141,2020-08-10 07:20:18,montalto,,29356,"new CTOI, Montalto et al. (2020)"
24725031,24725031.01,,,,,,,,FP,,7.35422,0.006,81.517408,-10.757758,-10.45,0.14,-1.949,0.122,2458438.44,.001,0.53299,0.00015,4.133657,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.086,3.859,12818,150,,,,,2019-09-13 13:41:57,earley,,5650,"Eclipsing binary candidate in Pisces-Eridanus stellar stream"
25078924,25078924.01,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.5091,,0.9097222,,16.723865,,15285.2256555255,,1.56666666666667,,,,,,,,,,14.434011815694,,,,,,,,,,,,,,,,,,,,228.492,1.4215,5737,131.98,4.27563,.0745082,1.21763,.0589447,2019-08-02 00:39:26,lipponen,,5065,"sector1"
25078924,25078924.02,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.9605,,0.9034722,,67.676072,,60429.0706446056,,1.7,,,,,,,,,,28.6994838889778,,,,,,,,,,,,,,,,,,,,228.492,1.4215,5737,131.98,4.27563,.0745082,1.21763,.0589447,2019-08-02 00:39:26,lipponen,,5065,"sector1"
25226885,25226885.01,,,,,,,,PC,,11.9329,0.007,326.957969,-20.235107,1.638,0.08,-12.488,0.08,2458325.8415,,1.63125,,2333.408249,,883416.604382057,,2.56666666666667,,,,,,,,,,41.1147235452682,,,,,,,,,,,,,,,,,,,,578.167,17.6165,6222,132.256,4.14893,.0860199,1.52812,.0831634,2019-06-06 03:40:31,lipponen,,3787,"sector1"
25226885,25226885.02,,,,,,,,PC,,11.9329,0.007,326.957969,-20.235107,1.638,0.08,-12.488,0.08,2458326.661,,1.630556,,4529.902496,,984581.610895565,,2.56666666666667,,,,,,,,,,14.951973716145,,,,,,,,,,,,,,,,,,,,578.167,17.6165,6222,132.256,4.14893,.0860199,1.52812,.0831634,2019-06-06 03:40:31,lipponen,,3787,"sector1"
25314899,25314899.01,,,,,,,,PC,,10.8452,0.006,351.617354,50.012001,-113.577,2.827,-57.256,1.432,2458765.6846,,3.367346,0.002634,1.092366,0.048425,1005.6,44.6,1.632,0.146,,,,,,,,,3.74,.08,,,216.6,,977,,,,.0402,,,,,,,,,,105.8117,,5143,,,,.919824,,2020-01-02 17:49:14,damboiu,,8510,"Host star is likely to be very young"
25354620,25354620.01,,,,,,,,PC,,11.8068,0.007,328.310826,-22.902821,11.414,0.077,-1.079,0.074,2458323.7492,.0006,5.02335,0.00021,7.308749,,6709,,0.093,0.008,84.52,.77,.94,.08,.096,.044,9.81,1.64,14.61,7.58,,,,,,,.71,.4,,,,,,,,,,,403.393,8.002,5482,127.009,4.13163,.082784,1.39429,.0789346,2020-08-10 07:20:18,montalto,,29415,"new CTOI, Montalto et al. (2020)"
25758307,25758307.01,,,,,,,,PC,,10.9677,0.007,10.029033,26.102983,-2.557,0.064,-100.247,0.055,2458765.2912,,0.903346,0.000313,0.458277,0.041259,422,38,1.363,0.055,,,,,,,,,1.38,.07,,,329.6,,1086,,,,.01566,,,,,,,,,,57.3632,.15435,3910,157,4.66802,.0102921,.580201,.0171379,2020-01-02 17:56:09,damboiu,,8512,"USP Candidate, low s2n"
25879023,25879023.01,,,,,,,,PC,,13.9819,0.006,248.849498,-50.987539,-1.162,2.902,-13.752,2.902,2458630.50963232,.00377192,2.04948261,0.0005954,32.309796,1.542841,29320,1420,3.348,0.584,86.7,2.8,.307,.261,.17124,.00588,5.33,.48,13.47,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-13 10:41:06,bouma,tfopwg,18718,"Crowded. HJ or EB. Collinder 307 (CG18, 30Myr). pmDec off."
26264354,26264354.01,,,,,,,,PC,,10.7846,0.007,153.401713,-11.907184,4.063,0.073,-11.466,0.078,2458543.6864,.0009,0.29048,0.00002,1.710295,,1574,,0.038,0.004,36.8,12.87,.93,.01,.044,.005,1.16,.4,7.58,1.26,,,,,,,.35,.32,,,,,,,,,,,377.257,8.4385,6617,122.846,4.18567,.0911101,1.57655,.0748542,2020-08-10 07:20:18,montalto,,29314,"new CTOI, Montalto et al. (2020)"
26474800,26474800.01,,,,,,,,PC,,13.5547,0.007,291.554386,51.043089,-9.611,0.034,-24.45,0.036,2458684.548589971,,0.8059426573068061,,10.591861,,9708.03391777416,,3.157705784150143,,,,.9780548608988708,,.09852935561432521,,,,,,,,,,,,,,,,,,,,,,,,1375.61,30.085,5016.02,50.9988,,,2.6213,,2020-07-14 13:40:48,wilson,,28551,"Kepler candidate planet KOI-8078.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
26748546,26748546.01,,,,,,,,PC,,14.6806,0.007,292.756071,49.264518,-3.077,0.044,-7.543,0.055,2458688.033109335,,5.9019086700844765,,28.697146,,26084.805502757525,,4.9070947718869675,,,,.42103855691188735,,.16150791157945646,,,,,,,,,,,,,,,,,,,,,,,,1974.48,99.54,5742,125,3.9907,,1.69864,,2020-07-14 13:40:48,wilson,,28551,"Kepler candidate planet KOI-6085.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
27318774,27318774.01,,,,,,,,PC,,14.4394,0.008,294.996342,50.470046,4.282,0.047,-1.88,0.04,2458686.6735996557,,3.2450874655608386,,26.608177,,24209.177858643383,,8.116843084593315,,,,.9999994750237559,,.1555929878196424,,,,,,,,,,,,,,,,,,,,,,,,1140.95,26.315,5778,25,4.37783,,1.09304,,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-186.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
27354439,27354439.01,,,,,,,,PC,,12.4969,0.007,214.492781,37.297784,22.203,0.03,-36.74,0.043,2458738.7907,,0.485982,0.000072,1.333669,0.061454,1227.6,56.6,0.552,0.029,,,,,,,,,1.52,.03,,,257.5,,1021,,,,.00884,,,,,,,,,,59.0302,.10535,3462,157,4.82881,.00313684,.397665,.0117764,2020-01-02 17:41:32,damboiu,,8507,"USP Candidate, low s2n"
27774415,27774415.01,,,,,,,,PC,,13.2394,0.007,296.200551,49.14003,-2.78,0.032,-12.122,0.036,2458686.3091935376,,4.94136769437929,,9.1637,,8404.56234157766,,4.045122071560131,,,,.7263512409615339,,.0916764001342639,,,,,,,,,,,,,,,,,,,,,,,,739.412,11.158,5550.93,21.5889,4.18442,,1.32567,,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-128.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
27847307,27847307.01,,,,,,,,PC,,13.6764,0.009,296.507374,49.457231,0.755,0.116,-13.288,0.106,2458684.5407236917,,2.497575212640493,,26.529724,,24138.666067425478,,5.5229668857486285,,,,.7690914286863036,,.15536623206934472,,,,,,,,,,,,,,,,,,,,,,,,1122.19,74.875,6015.1,24.9,4.15674,,1.45655,,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-1416.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
27916356,27916356.01,,,,,,,,PC,,12.6877,0.007,296.837248,48.239969,0.961,0.025,8.429,0.026,2458684.0863739303,,3.235977802119727,,8.967452,,8225.314138761416,,5.608324877714772,,,,.8224565676700134,,.09069351762260308,,,,,,,,,,,,,,,,,,,,,,,,587.039,5.0285,5613,107.744,4.19602,.0759671,1.31474,.059593,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-17.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
27990610,27990610.01,,,,,,,,PC,,14.4889,0.008,297.015464,49.225299,-2.464,0.043,-3.825,0.047,2458685.1539520263,,2.814751912857837,,3.28,,3016.4328385797467,,2.030553451234142,,,,.00004369134868289728,,.05492206149244352,,,,,,,,,,,,,,,,,,,,,,,,939.744,17.915,5413,122,4.39994,,1.01304,,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-767.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
29430403,29430403.01,,,,,,,,PC,,11.4907,0.006,313.624861,-29.527891,41.097,0.074,-8.056,0.048,2458325.7119,.0015,1.87756,0.00018,16.247402,,14853,,0.065,0.005,81.61,1.03,.9,.08,.125,.039,6.19,.75,12.66,4.66,,,,,,,1.27,.61,,,,,,,,,,,220.491,2.7115,5384,139.529,4.47363,.08368,.927664,.0514397,2020-08-10 07:20:18,montalto,,29435,"new CTOI, Montalto et al. (2020)"
29478974,29478974.01,,,,,,,,PC,,10.619,0.006,314.081686,-26.588698,17.123,0.114,-39.198,0.072,2458326.4654,,24.90278,,4636.327172,,986021.224468432,,3.33333333333333,,,,,,,,,,9.96490619535896,,,,,,,,,,,,,,,,,,,,197.173,2.881,4737,77,,,1.75839,,2019-05-12 09:25:49,lipponen,,3542,"firstBulkUpload"
29478974,29478974.02,,,,,,,,PC,,10.619,0.006,314.081686,-26.588698,17.123,0.114,-39.198,0.072,2458333.7848,,12.45833,,2896.048467,,930564.652542362,,3.33333333333333,,,,,,,,,,22.6316204773103,,,,,,,,,,,,,,,,,,,,197.173,2.881,4737,77,,,1.75839,,2019-05-12 09:25:49,lipponen,,3542,"firstBulkUpload"
29667425,29667425.01,,,,,,,,PC,,10.2633,0.006,315.330873,-27.31751,6.063,0.106,-21.191,0.072,2458335.9584,,,,6146.424417,,996521.193817212,,2,,,,,,,,,,6.6749670188886,,,,,,,,,,,,,,,,,,,,234.097,4.5865,5670,126.501,4.04936,.0793904,1.57066,.0815428,2019-05-25 09:17:28,lipponen,,3787,"sector1"
29786532,29786532.01,,,,,,,,PC,,14.5317,0.006,109.978473,-40.231884,-9.834,0.073,6.506,0.084,2458493.009889008,.0008533117361366749,1.5878844940770864,0.00010213645650813952,245.215476,26.312327,202163.6677133884,23943.249745283374,2.369187986195578,0.056722419624215765,82.72427161544246,.6133751257470124,.7967204455508694,.06932400678233062,.44962614215967067,.03765447039447417,6.291003586248814,.1462038186523067,41.51029650683124,12.453088952049372,,,,,,,,,,,,,,,,,,,315.71,4.2125,3645,122,4.3072,,.846396,,2019-09-18 09:12:28,bouma,tfopwg,5722,"Cand HJ/BD, Collinder135 (40 Myr). Rp is OK (Burrows+2001). CMD good (pre-MS). RA/dec on outskirts. (CDIPS; Bouma+19)."
29959761,29959761.01,,,,,,,,PC,,11.8012,0.006,42.261441,-16.557655,59.809,0.087,84.904,0.134,2458412.056,.0024,1.64702,0.00039,5.543784,,5093,,0.049,0.004,84.02,1.25,.8,.04,.073,.005,7.69,1.27,5.79,.75,,,,,,,3.17,2.33,,,,,,,,,,,178.999,1.6895,5027,122.404,4.63684,.0887618,.727304,.0450753,2020-08-10 07:20:18,montalto,,29406,"new CTOI, Montalto et al. (2020)"
29986808,29986808.01,,,,,,,,PC,,10.4281,0.006,72.912417,-68.270346,32.937,0.153,65.116,0.181,2458325.6324,,2.134028,,7062.6987,,998504.038144169,,1.26666666666667,,,,,,,,,,5.72211671898283,,,,,,,,,,,,,,,,,,,,218.233,3.7885,6276,135.281,4.32471,.0888507,1.26367,.061206,2019-05-25 09:17:28,lipponen,,3787,"sector1"
29986808,29986808.02,,,,,,,,PC,,10.4281,0.006,72.912417,-68.270346,32.937,0.153,65.116,0.181,2458326.6922,,2.122917,,6085.932313,,996321.870001908,,1.33333333333333,,,,,,,,,,8.9724281569239,,,,,,,,,,,,,,,,,,,,218.233,3.7885,6276,135.281,4.32471,.0888507,1.26367,.061206,2019-05-25 09:17:28,lipponen,,3787,"sector1"
30947715,30947715.01,,,,,,,,PC,,11.7118,0.007,79.61789,-28.00593,13.54,0.031,-0.28,0.04,2458438.1534,.0093,3.66014,0.00128,0.943915,,869,,0.14,0.014,86.77,.79,.44,.19,.028,.004,7.77,.43,3.74,.66,,,,,,,.66,.29,,,,,,,,,,,415.04,3.587,6150,128.454,4.33149,.0818626,1.22287,.05651,2020-08-10 07:20:18,montalto,,29436,"new CTOI, Montalto et al. (2020)"
31142436,31142436.01,,,,,,,,PC,,11.7732,0.006,81.397716,-25.517309,24.949,0.031,-22.143,0.038,2458435.068,.0122,5.2714,0.00194,1.387371,,1277,,0.052,0.007,88.79,.27,.58,.12,.034,.005,27.51,2.8,3,.62,,,,,,,14.18,8.09,,,,,,,,,,,216.12,1.0825,5294,128.211,4.5813,.0837398,.808919,.047206,2020-08-10 07:20:18,montalto,,29428,"new CTOI, Montalto et al. (2020)"
31273263,31273263.01,,,,,,,,PC,,10.7858,0.006,88.103754,-68.159441,5.418,0.049,26.235,0.048,2458337.8598,,,,1795.812763,,808717.651750035,,8.03333333333333,,,,,,,,,,118.56853801958,,,,,,,,,,,,,,,,,,,,495.635,5.735,5631.77,122.057,3.46682,.0805734,3.05932,.162,2019-06-06 03:40:31,lipponen,,3787,"sector1"
31656385,31656385.01,,,,,,,,PC,,11.9961,0.006,46.659674,-66.007932,14.519,0.033,11.727,0.033,2458320.1449,.0005,22.82676,0.00025,10.326532,,9466,,0.293,0.01,89.28,.15,.33,.12,.094,.007,25.87,.59,16.14,1.88,,,,,,,.63,.13,,,,,,,,,,,580.188,6.1975,5963.06,113.299,4.08204,.0798513,1.573,.0719975,2020-08-10 07:20:18,montalto,,29527,"new CTOI, Montalto et al. (2020)"
32150630,32150630.01,,,,,,,,PC,,11.9631,0.006,59.244576,-68.625973,35.835,4.138,37.421,4.138,2458325.719,,1.494444,,2370.726831,,887355.687755761,,1.83333333333333,,,,,,,,,,25.803044506485,,,,,,,,,,,,,,,,,,,,,,4323,173,,,.704821,.0703579,2019-05-25 09:17:28,lipponen,,3787,"sector1"
32150630,32150630.02,,,,,,,,PC,,11.9631,0.006,59.244576,-68.625973,35.835,4.138,37.421,4.138,2458326.4704,,1.488889,,3974.745354,,974290.012922452,,1.43333333333333,,,,,,,,,,12.3272796079202,,,,,,,,,,,,,,,,,,,,,,4323,173,,,.704821,.0703579,2019-05-25 09:17:28,lipponen,,3787,"sector1"
32606889,32606889.01,,,,,,,,PC,,11.6416,0.006,85.192377,-24.926452,0.992,0.04,-3.132,0.049,2458436.2366,.0009,4.68686,0.00012,11.913766,,10913,,0.195,0.004,82.25,.39,.79,.02,.105,.011,5.89,.22,23.92,3.64,,,,,,,.18,.03,,,,,,,,,,,750.964,15.891,6530,121.892,3.9294,.0919354,2.0869,.097216,2020-08-10 07:20:18,montalto,,29427,"new CTOI, Montalto et al. (2020)"
32925763,32925763.01,,,,,,,,PC,,11.0863,0.006,87.373285,-25.375613,1.367,0.035,9.988,0.041,2458468.1749,.0016,1.68054,0.00019,3.02255,,2780,,0.058,0.006,82.33,2.15,.82,.05,.055,.006,6.11,1.82,6.24,.96,,,,,,,1.53,1.4,,,,,,,,,,,231.907,1.5495,5695,127.215,4.4103,.0770621,1.03969,.0521005,2020-08-10 07:20:18,montalto,,29426,"new CTOI, Montalto et al. (2020)"
33283274,33283274.01,,,,,,,,PC,,11.7465,0.008,149.485204,-10.288648,-40.141,0.06,-0.647,0.054,2458515.7713,.0033,3.22704,0.00067,2.832033,,2605,,0.08,0.007,86.98,.66,.59,.11,.051,.005,11.21,1.12,10.44,1.67,,,,,,,2.55,.93,,,,,,,,,,,502.531,9.5425,5387,125.713,3.8603,.0823343,1.87554,.106131,2020-08-10 07:20:18,montalto,,29387,"new CTOI, Montalto et al. (2020)"
33989652,33989652.01,,,,,,,,PC,,12.1006,0.007,93.95584,-15.488542,-3.147,0.078,2.113,0.07,2458467.933,.0053,6.19419,0.00243,9.56062,,8767,,0.08,0.008,85.68,.6,.97,.14,.104,.129,12.89,2.26,20.78,26.91,,,,,,,1.06,.68,,,,,,,,,,,758.189,26.326,6544,119.922,4.04329,.0896595,1.83043,.1011,2020-08-10 07:20:18,montalto,,29399,"new CTOI, Montalto et al. (2020)"
35703676,35703676.01,,,,,,,,PC,,12.2385,0.008,23.796164,-0.887365,2.736,0.091,-26.866,0.062,2458382.7897,.0015,1.73034,0.00016,7.179774,,6591,,0.067,0.007,80.12,2.31,.88,.02,.082,.01,5.14,1.14,8.24,1.49,,,,,,,.86,.64,,,,,,,,,,,319.531,4.266,5434,133.909,4.48679,.0847261,.921516,.0536282,2020-08-10 07:20:18,montalto,,29367,"new CTOI, Montalto et al. (2020)"
36595388,36595388.01,,,,,,,,PC,,14.2346,0.035,250.122387,-49.051126,0.95,0.112,-4.699,0.075,2458630.87361759,.00395223,1.7381149,0.0005419,75.656699,27.711199,67310,25200,4.288,0.384,67.9,2.5,.993,.12,.25944,.06867,2.64,.14,52.26,15.68,,,,,,,,,,,,,,,,,,,993.873,80.83,5970,122,3.94657,,1.8469,,2020-04-13 10:41:06,bouma,tfopwg,18718,"10 Myr EB or HJ. PMS K dwarf host (NGC 6193, CG18)."
37497171,37497171.01,,,,,,,,PC,,9.5645,0.006,92.619278,-25.892286,-1.91,0.097,-25.595,0.127,2458468.2828,.007,0.63619,0.00034,0.901535,,830,,0.079,0.009,89.96,0,0,.24,.025,.003,2.62,.21,2.49,.46,,,,,,,.84,.29,,,,,,,,,,,96.1868,.75345,5480,128.05,4.49876,.082045,.913665,.049583,2020-08-10 07:20:18,montalto,,29324,"new CTOI, Montalto et al. (2020)"
37777274,37777274.01,,,,,,,,PC,,11.5143,0.007,65.178622,-9.511755,6.401,0.04,2.107,0.03,2458438.2651,.0024,1.35174,0.00021,5.039723,,4631,,0.081,0.006,66.09,2.79,.99,.1,.088,.06,2.43,.3,18.33,13.47,,,,,,,.15,.07,,,,,,,,,,,521.813,9.18,5835,128.749,3.89816,.0769675,1.90786,.0960303,2020-08-10 07:20:18,montalto,,29383,"new CTOI, Montalto et al. (2020)"
38129218,38129218.01,,,,,,,,PC,,11.6238,0.009,68.423654,-10.840927,4.665,0.076,-9.089,0.056,2458437.0507,.0039,2.40172,0.00057,3.225079,,2966,,0.078,0.01,77.09,2.06,.97,.12,.067,.073,4.35,.95,10.22,11.7,,,,,,,.27,.2,,,,,,,,,,,473.291,13.774,6385,134.89,4.25518,.0922326,1.39653,.0774271,2020-08-10 07:20:18,montalto,,29388,"new CTOI, Montalto et al. (2020)"
38815574,38815574.01,,,,,,,,PC,,11.1562,0.006,68.111858,-63.573468,-0.071,0.063,6.017,0.057,2458314.218,.0033,20.42942,0.00028,3.620445,,3329,,0.09,0.006,87.73,.27,1.03,.12,.096,.13,26.09,3.43,19.36,27.08,,,,,,,.81,.36,,,,,,,,,,,467.997,5.914,6057.92,114.833,3.9584,.0797272,1.84659,.0834975,2020-08-10 07:20:18,montalto,,29520,"new CTOI, Montalto et al. (2020)"
39018208,39018208.01,,,,,,,,PC,,11.1032,0.006,12.089468,-66.160258,-2.821,0.042,3.22,0.037,2458327.9262,,6.645833,,6007.623652,,996046.784046854,,2.93333333333333,,,,,,,,,,10.5341899780203,,,,,,,,,,,,,,,,,,,,399.552,3.6405,6081.5,116.224,4.08411,.0771962,1.60484,.0737939,2019-06-06 03:40:31,lipponen,,3787,"sector1"
