rowid,TIC ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments
159,154618248,PC,,12.474381,2,The target is two stars separated by <1
160,158623531,KP,KP,137.823349,"2,3",WASP-105
161,160148385,KP,KP,75.9552,2,WASP-96
162,201793781,PC,,12.305867999999998,"2,3",known TOI
163,179985715,PC,,8.842849000000001,2,centroid offset not significant.
164,184240683,KP,KP,121.838249,2,WASP-5
165,224225541,PC,,10.939553,2,centroid shift not significant.
166,237924601,PC,,13.430404000000001,"2,3",known TOI
167,322063810,PC,,7.196484,2,There is another star in the same pixel. Centroid offset is not significant.
168,49687222,PC,FA,8.44698,2,The transit shape looks asymmetric but it is not near known systematics; recommend to confirm signal on target before follow up.
169,204317710,KP,KP,19.77157,2,HATS-32
170,92226327,KP,KP,12.301941000000001,3,LHS-1140b
171,92226327,KP,KP,10.993546,3,LHS-1140c
172,200723869,PC,CP,61.0,"3,4",First event is a partial transit
173,350445771,PC,FP,19.982941,"1,2,3",possible secondary
174,12862099,KP,KP,36.095585,3,WASP-44
175,37749396,PC,,8.303118,3,only two transits
176,63898957,PC,,8.706955,3,ambiguous period
177,63898957,PC,,10.275119,3,ambiguous period; many transits; need photometry to constrain period
178,70513361,PC,,10.47471,3,ambiguous period
179,120916706,PC,,10.406471,3,
180,122612091,KP,KP,45.325783,"3,4",
181,159951311,KP,KP,89.092186,"3,4",
182,164767175,PC,,9.309046,3,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission
183,164767175,PC,,8.478584,3,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission
184,166836920,KP,KP,137.024765,3,WASP-99
185,219253008,PC,,41.065517,"3,4,5",
186,220479565,PC,,20.603120999999998,"3,4,5,6",
187,259377017,PC,CP,41.599045000000004,"3,4,5",
188,259377017,PC,CP,32.336864,"3,4,5",
189,259377017,PC,CP,14.305143,"3,4,5",
190,259511357,PC,,16.439299,"3,4,5",follow up in progress
191,268766053,KP,KP,69.823929,3,WASP-53
192,279740441,PC,FP,16.765954999999998,3,still can be a planet on 279740439
193,281979481,PC,,8.449253,3,needs follow-up to check if signal is on-target
194,373844472,PC,FP,105.714569,"1,3",v-shaped; likely EB
195,382188882,PC,FP,27.180143,3,likely EB
196,439456714,PC,,15.177195000000001,3,check that 439456712 is not the target
197,244161191,O,,13.262328,3,possible dipper; not a planet candidate; Rstar may be larger than stated
198,122613513,PC,,12.318772000000001,"3,4",
199,42054565,PC,,7.1680399999999995,3,low SNR; possible instrument systematic; source is possibly 42054566 which is 4.24 as away
200,38696105,PC,,7.370054,3,
201,29781292,PC,,32.06031,"1,2,3,4,5,6,7,8,9,10,11,12,13",follow up in progress
202,29781292,PC,,7.174958999999999,"1,2,3",could be a secondary of .01 or a single transit detection of a second planet
203,29781292,PC,,11.191896,"1,2,3,4,5,6",potential long-period small planet
204,382626661,PC,,23.811121,"1,2,3,4,5,6,7,8,9,10,11,12,13",
205,277103955,PC,FP,11.0,4,
206,220459976,PC,,7.5875330000000005,"2,3",possible single transit
207,150030205,PC,,10.884419,"1,2,3,4,5",follow up in progress
208,150030205,PC,,16.776566,"1,2,3,4,5,7,8,9,10,11,12,13",part of multi-planet system
209,2758565,PC,,28.0,2,synchronized with stellar rotation
210,47316976,PC,,22.0,2,single transit
211,201292545,PC,,33.0,"1,2",single event; no period
212,201233610,PC,,42.0,2,single event; really big
213,49710555,PC,,16.0,2,possible centroid shift
214,180285396,PC,,24.0,"2,3",V-shaped3
215,355637190,PC,FP,71.0,2,V-shaped;
216,188570092,PC,,72.0,2,
217,327952677,PC,KP,50.0,2,
218,382463648,PC,,16.0,2,The period could be either 12.635 or 25.27
219,115242351,PC,,9.0,2,
220,206686292,PC,,32.0,2,synchronized?
221,156075294,PC,,31.0,2,
222,166697854,PC,FP,17.0,2,two stars in the same pixel; Gaia radius of 166697854 is 1.6 Rsun; second star is 4 as away and dmag 4
223,144301052,PC,,10.0,2,
224,229111835,PC,,21.0,2,
225,145750719,PC,KP,36.0,2,
226,262530873,PC,,16.0,"2,3",Likely EB; Big but flat bottomed.
227,102030574,PC,,73.0,2,likely EB;
228,114749636,PC,KP,53.0,2,
229,9100874,PC,,16.0,2,
230,281710229,PC,FP,67.0,2,v-shaped;
231,228507250,PC,,29.0,2,
232,175477257,PC,,50.0,2,
233,434105231,PC,FP,76.0,2,maybe EB; V-shaped; some odd-even
234,180145006,PC,,26.0,"2,3",
235,9102327,PC,FP,16.0,2,target star is two stars in Gaia ();  check if it is on target;
236,316769613,PC,,10.0,2,
237,66356824,PC,,22.0,"2,3",
238,8988289,PC,FP,48.0,2,V-shaped
239,402319411,PC,,14.0,2,
240,206352378,PC,,53.0,"1,2",V-shaped; need to check if it is on target.
241,389753172,PC,FP,78.0,2,There is a potential odd even;
242,188593930,PC,FP,15.0,2,
243,175476629,PC,FP,16.0,2,There is some centroid offset but there is no star there.
244,198077394,PC,,74.0,"2,3,4,5,12",not synchronized; no GAIA radius
245,251852984,PC,,12.0,2,
246,156002449,PC,,59.0,2,Big;
247,66413476,PC,,23.0,"2,3",There might be some odd even difference.
248,144336525,PC,FP,36.0,2,really short period.
249,206669860,PC,,13.0,2,two events; odd even?
250,139357541,PC,,16.0,2,V-shaped
251,169765334,PC,,9.0,2,
252,27966179,PC,,48.0,2,
253,262531275,PC,,12.0,"2,3",possible centroid offset; the fainter star to the north has a smaller radius than the target.
254,139285832,PC,,28.0,"1,2",
255,224245334,PC,,9.0,2,
256,233964642,PC,FP,141.0,2,v-shaped; source is possibly 233964643
257,41865539,PC,FP,12.0,2,odd even unreliable
258,55452495,PC,FP,20.0,2,2x period; hot star; may not be on target
259,155986102,PC,FP,26.0,2,Likely FP; the period is twice as reported; there appear to be a second event in the data.
260,116156517,PC,KP,67.0,2,
261,69838258,PC,FP,61.0,2,difference image not conclusive
262,80439101,PC,,57.0,2,V-shaped; likely EB; period could be twice the reported.
263,33911302,PC,,22.0,2,
264,415969574,PC,FP,21.0,2,two transits; no gaia radius
265,66497310,PC,,15.0,2,
266,13023378,PC,,35.0,2,
267,308208458,PC,,14.0,2,possible odd even;
268,118327533,PC,,18.0,2,the period is twice as reported; V-shaped.
269,224271611,PC,,9.0,2,
270,70785910,PC,,39.0,2,V-shaped;
271,382474101,PC,FP,103.0,2,400 ppm secondary; synchronized
272,199731190,PC,FP,28.0,2,
273,228381868,PC,KP,32.0,2,star is evolved
274,47423120,PC,FP,230.0,2,The period could be half;
275,100099031,PC,,29.0,"2,3",big;
276,100097716,PC,,39.0,"2,3",Two stars in the same pixel
277,183593642,PC,,21.0,"2,3",potential odd/even difference
278,369336146,PC,,11.0,2,
279,220016044,PC,,12.0,"2,3",weak signal
280,321982642,PC,,37.0,2,odd/even not reliable
281,80432617,PC,,10.0,2,two events (near 1360 and 1377); wrong period in report
282,13023738,PC,,12.0,2,centroid shift in X/Y is due to the star nearby but the signal is on target.
283,144276942,PC,FP,12.0,2,
284,305048116,PC,,13.0,2,the super bright star to the southwest is TIC 304698788; does not have a signal.
285,262530780,PC,,38.0,"2,3",
286,47425697,PC,,10.0,2,a little v-shaped; possible EB
287,118586896,PC,,41.0,2,likely EB; V-shaped
288,251878904,PC,,13.0,2,too faint
289,9033144,PC,FP,37.0,2,likely EB
290,77031413,PC,KP,192.0,2,two stars in the same pixel;
291,175482273,PC,,73.0,2,PC (star radius 1.70); Simbad says it's a known double. Gaia did not have a second star at the same coordinate.
292,251855940,PC,,52.0,2,
293,156016136,PC,,14.0,2,
294,441075486,PC,FP,153.0,2,likely EB; V-shaped;
295,9032368,PC,FP,13.0,2,target is likely 9032367 (still possible to be a planet);
296,183675732,PC,,22.0,2,
297,280097543,PC,,12.0,"1,2,13",needs follow-up to confirm stellar parameters
298,144301273,PC,,45.0,2,
299,139285736,PC,FP,49.0,2,possible centroid offset;
300,20892672,PC,FP,32.0,2,2 stars in same pixel with dmag 1
301,220396259,PC,FP,18.0,2,needs follow-up to confirm whether is on target
302,100014359,PC,,92.0,"2,3",
303,207084429,PC,FP,9.0,2,the target may be on the neighbor on the north (Rstar 1.3; dmag=6).
304,229091748,PC,FP,17.0,2,
305,167418898,PC,FP,46.0,"1,2,3,4,5,6,7,8,9,11,12,13",likely large planet on 167418903; this TIC ID is for a NPC (nearby Planet Candidate)
306,155995204,PC,FP,26.0,2,big;
307,300810086,PC,,45.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",maybe not on target
308,238059180,PC,,21.0,"2,6,7,8,9,12",v-shaped; two stars about 1as separation in same pixel
309,92359850,PC,FP,66.0,4,should check 92359852 with follow-up photometry
310,422655579,KP,KP,27.757355,4,WASP-71b
311,271900960,PC,FP,13.0,4,
312,250386181,PC,FP,26.752861,4,follow-up in progress
313,382391899,KP,KP,158.094177,4,WASP-50b
314,328350926,PC,FP,216.0,4,same pixel as 328350925 and 328350924
315,29960109,PC,FP,12.0,4,may be on 29960110
316,9858404,PC,FP,35.0,4,v-shaped; some odd-even
317,38541473,PC,FP,18.0,4,large; possible EB
318,178155732,PC,CP,13.0,4,HR 858 c; follow-up in progress
319,178155732,PC,CP,14.0,4,HR 858 b; second candidate in system; follow-up in progress
320,178155732,PC,CP,9.0,4,HR 858 d
321,219379012,PC,FP,18.0,4,close companion star 219379014
322,1129033,KP,KP,348.148499,4,WASP-77A b
323,219388773,PC,FP,7.349477,4,follow-up in progress
324,35857242,KP,KP,39.151089,4,WASP-138b
325,259701242,PC,FP,10.0,4,may be on 259701232
326,120896927,PC,CP,10.392367,4,
327,120896927,KP,CP,10.660744000000001,4,follow-up in progress
328,257567854,KP,KP,88.358276,4,WASP-22b
329,166833457,KP,KP,78.312546,4,WASP-98b
330,176984236,PC,FP,76.0,4,possible EB on 176984248; small possible secondary eclipse
331,153065527,PC,,12.478295,"3,4",
332,349518800,PC,FP,29.0,4,possible EB; check 349518801 with photometric follow-up
333,176778112,PC,FP,15.566831,4,follow-up in progress; likely EB
334,167754523,PC,FP,10.0,4,centroid offset on 167754526
335,206466531,PC,FP,16.0,4,
336,100990000,PC,,12.336212,"3,4",
337,100990000,PC,,8.785103999999999,"3,4",
338,7624182,PC,FP,20.24239,4,hot star; could still be a planet
339,170634116,KP,KP,246.08461,"4,5",WASP-79b
340,325680697,PC,FP,119.069397,4,follow-up in progress; possible EB
341,152476657,KP,KP,54.304770999999995,"4,5",
342,49899799,PC,FP,269.0,4,tropical Jupiter
343,339733013,PC,FP,15.0,4,may be on 339733023
344,178284730,KP,KP,231.78099100000003,"4,5",WASP 140b; this planet contaminates 178284729 in spoc-s01s06-b02
345,279251651,PC,FP,37.0,4,Rstar 0.55; may be on 279251647
346,408159788,PC,FP,11.0,5,SG1 check if it is on target.
347,94986319,PC,,47.177959,"5,6",follow up in progress
348,117979455,PC,,11.0,5,needs SG1 to check if target is this star or 117979850
349,43647325,KP,KP,329.0,5,WASP-35b
350,117979694,PC,,16.0,5,
351,169532369,PC,FP,68.0,5,
352,189013224,PC,,12.0,5,two stars in the same pixel; target could also be 189013222; need SG1
353,70914192,PC,FP,150.0,5,V-shaped; depth is actually 5ppt; there is a dmag 4 neighbor at 2.5
354,117979850,PC,FP,12.0,5,the signal also is seen on 17979455; need to check which star has the target.
355,259592689,PC,,15.0,"3,4,5,6",single transit; use Tc of 1395.229 from table
356,459942762,PC,FP,34.0,5,need SG1 to check star to the north.
357,31374837,PC,,58.0,"5,6",
358,31374837,PC,,24.186544,"5,6",
359,38686737,PC,FP,67.0,5,
360,188989177,PC,,101.0,5,secondary eclipse; two stars in the same pixel; depth is 3.6 ppt
361,78055054,KP,KP,94.447517,"5,6",
362,44647437,PC,,12.083445,"4,5",
363,44745077,PC,FP,16.0,"4,5",v-shaped due to short transit duration
364,32499655,KP,KP,23.322733,"5,6",
365,468880077,PC,,10.0,5,need SG1 to check star 468880075
366,13021029,KP,KP,85.0,5,WASP-61b
367,143350972,PC,FP,26.0,5,two stars in the same pixel;
368,316916655,PC,FP,65.0,5,SG1 check if the target is 316916663; possible odd-even
369,70899085,PC,,55.0,5,
370,117979897,KP,KP,71.0,5,WASP-141b
371,179034327,PC,,12.197445,"4,5",
372,14091704,PC,FP,74.0,5,V-shaped;
373,1449640,PC,FP,71.0,5,likely EB; hint of secondary.
374,14091633,PC,FP,176.0,5,big;
375,1528696,KP,,33.0,5,depth is 8 ppt
376,139528693,KP,KP,93.0,5,WASP-78b
377,77951245,PC,FP,110.89303600000001,"5,6",Star likely to be small based on parallax and temperature which could indicate a smaller planet radius
378,257605131,PC,,15.0,"4,5",may also be 2x period
379,139733308,KP,KP,70.0,5,HATS-5b
380,452808876,KP,KP,205.0,5,WASP-82b
381,153077621,PC,,28.491219,"3,4",
382,98796344,PC,CP,13.6348,4,two stars on the same pixel; could also be 98796342
383,77228304,PC,FP,10.402103,"4,5",
384,89256802,PC,,13.896864,4,hint of odd-even
385,64071894,PC,,10.18843,4,two stars in same pixel
386,38603673,PC,FP,7.379836,4,
387,9804616,PC,,25.980261,4,faint target star
388,4646810,PC,,9.984914999999999,4,may be two single transits
389,420049884,PC,,9.138309,4,
390,176831592,PC,,26.012814000000002,4,some odd-even
391,398733009,PC,,10.879833999999999,4,bright stars nearby
392,270380593,KP,KP,34.84919,4,WASP-156
393,4616072,KP,KP,20.633278,6,HATS-45
394,20178111,PC,FP,16.904505,6,could be on 20178112
395,33521996,KP,KP,68.375946,6,HATS-6; GAIA Rstar=0.7Rsun
396,33692729,PC,,19.369370999999997,6,
397,37770169,PC,,18.219587,6,bright star to N
398,47911178,KP,KP,179.145035,6,WASP-101
399,52280468,PC,FP,337.59432999999996,6,no GAIA radius with Teff 3869K; large planet around an M star if real
400,52640302,KP,KP,38.977436,6,WASP-64
401,59843967,KP,KP,34.093102,6,HATS-4
402,100608026,PC,,12.239309,"5,6",
403,156987351,PC,,9.201258000000001,6,check timing of possible pulsations; giant planet or EB; GAIA Rstar=2.3Rsun
404,170102285,KP,KP,123.08949299999999,6,WASP-23
405,172464366,PC,FP,79.508011,6,centroid shift because of nearby bright star; some phase variation (non-synchronized) and possible secondary; DR2 RVs show 6.4 km/s scatter.
406,306362738,KP,KP,115.48843400000001,6,WASP-49
407,317548889,PC,,12.347524,6,centroid shift may be smaller than reported
408,339672028,PC,,152.45755,"6,7,9,10,13",possible hot Jupiter
409,365639282,PC,FP,11.663487,6,likely EB on 365639292; wrong period because triggering on spurious event at TJD 1469 instead of transit at TJD 1473. Transit is deeper than reported depth.
410,393414358,KP,KP,107.983902,6,WASP-63
411,427348923,PC,,9.913416999999999,6,could be on 427348561 which is 3x as large (2 Rsun) and 33% fainter; depth in 561 is 14.4 ppt so Rp=26 Re assuming Gaia lower percentile R* = 1.99.
412,427352241,PC,FP,15.106660999999999,6,2 stars in same pixel; dmag 0.4
413,260708537,PC,,12.587951,"1,2,3,4,5,6,8,9,10,11,12,13",follow-up in progress
414,31852980,PC,,8.890672,"1,2,3,6",periods are mismatched with existing .01 and .02
415,31852980,PC,,10.221195,"1,2,3,6",periods are mismatched with existing .01 and .02
416,452866790,PC,,9.900291000000001,7,
417,455096220,KP,KP,43.459697999999996,7,HAT-P-35
418,455135327,KP,KP,157.992676,7,HAT-P-30
419,468987719,KP,KP,33.698181,7,HAT-P-43
420,17746821,KP,KP,38.926884,7,HAT-P-50b
421,19025965,PC,,10.420923,7,SG1 to check 19025962
422,19519368,PC,,8.022874,7,Gaia DR2 R = 0.8 R_Sun; check 195193366; dmag=5.3
423,22529346,KP,KP,234.725754,7,WASP-121
424,88977253,PC,FP,68.144279,7,V-shaped; Large planet; but could be close to 2 R_Jup.
425,108645766,PC,FP,7.174169,7,Faint target; centroid analysis not reliable bc of crowded field; SG1 needed
426,121338379,PC,FP,20.782486,7,Very short period; ; GAIA dmag=3.2 for nearby star 121338375
427,123702439,PC,,14.60476,7,d_rp=4.4 for neighbor 5
428,134200185,PC,,7.856921000000001,7,
429,134537478,KP,KP,171.283875,7,KELT-14
430,172193428,PC,,18.126085,7,
431,186812530,PC,PC,52.764706000000004,7,slightly V-shaped; hot star; 12 Re
432,219164808,PC,,42.743786,7,V-shaped;  d_rp=5 for neighbor 4-5
433,268644785,KP,KP,115.30671699999999,7,KELT-15
434,274138511,PC,FP,9.472691000000001,7,Possible centroid; SG1 to check nearby stars. Nearest neighbor is 12.2
435,348538431,PC,,94.909363,7,V-shaped; large planet
436,425206121,KP,KP,145.364227,7,KELT-19A
437,453211454,PC,,19.772907,7,Looks like a transit signal but there is a possible single secondary at 1506 need to check multi-sector data.
438,238086647,PC,,7.217847,7,marginal signal; offset not consistent with nearby stars
439,440777904,KP,KP,78.209305,7,HAT-P-24 b
440,119292328,PC,,7.4537770000000005,7,
441,431999925,PC,FP,7.890174000000001,7,likely on TIC 431999916 which has lower end Gaia Rstar=2.8 Rsun and is 0.9 brighter than the target in T-band; still possibly planetary
442,366576758,KP,KP,17.009926,7,K2-114b
