# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 12 17:22:43 2020
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effecitve Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
101.01,231663901,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,0.044,0.044,0,-16.0110000,0.041,0.041,0,2459036.9041040,0.000393,0.000393,0,1.4303430,0.0000400,0.0000400,0,1.6377940,0.0268520,0.0268520,0,19976.6300240,240.3169600,240.3169600,0,13.5763680,0.6835870,0.6835870,0,1281.2728650,,,,1525.9143480,,,,12.4069000,0.006,0.006,0,375.3100000,4.4110000,4.4110000,0,5600.0000000,,,0,4.4885100,,,0,0.8907740,0.0438470,0.0438470,0,2018-09-05 18:34:18,2020-09-19 10:00:02
1010.01,139853601,,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,0.176,0.176,0,4.5020000,0.261,0.261,0,2458492.2580600,0.001180,0.001180,0,0.6808800,0.0000600,0.0000600,0,1.4580000,0.0360000,0.0360000,0,1580.0000000,157.1940000,157.1940000,0,,,,0,182419.0000000,,,,5757.0000000,,,,8.4508600,0.006,0.006,0,485.1220000,36.2460000,36.2460000,0,9438.0000000,782.0000000,782.0000000,0,,,,0,,,,0,2019-03-26 13:55:18,2020-05-20 16:00:02
1011.01,114018671,,07h35m56.34s,113.9847610,-32d50m31.2s,-32.8419990,145.1020000,0.046,0.046,0,-134.9010000,0.052,0.052,0,2458492.4443800,0.007300,0.007300,0,2.4699200,0.0013700,0.0013700,0,2.1510000,0.3870000,0.3870000,0,200.0000000,0.8163880,0.8163880,0,1.3396300,0.1216300,0.1216300,0,507.7410000,,,,1322.0000000,,,,8.2388000,0.006,0.006,0,52.6200000,0.0793000,0.0793000,0,5413.7000000,132.8000000,132.8000000,0,4.4600000,0.0900000,0.0900000,0,0.9400000,0.0500000,0.0500000,0,2019-03-26 13:55:13,2020-05-20 16:00:02
1012.01,427508467,,07h48m22.87s,117.0952850,+06d47m06.23s,6.7850640,-2.9900000,0.202,0.202,0,-0.0290000,0.106,0.106,0,2458492.1043400,0.000770,0.000770,0,0.8842500,0.0000400,0.0000400,0,1.6570000,0.0520000,0.0520000,0,1760.0000000,78.5863000,78.5863000,0,16.5334000,2.7701500,2.7701500,0,105841.0000000,,,,5024.0000000,,,,8.1271800,0.006,0.006,0,295.9590000,11.3150000,11.3150000,0,8928.0000000,128.7000000,128.7000000,0,3.9200000,0.0800000,0.0800000,0,2.7200000,0.1300000,0.1300000,0,2019-03-26 13:55:24,2020-05-20 16:00:02
1013.01,97700520,,07h09m08.66s,107.2860630,-31d56m00.68s,-31.9335230,-3.9730000,0.063,0.063,0,7.0610000,0.071,0.071,0,2458494.3679800,0.001070,0.001070,0,5.4298000,0.0005000,0.0005000,0,3.7790000,0.1300000,0.1300000,0,15610.0000000,501.1590000,501.1590000,0,,,,0,4847.5700000,,,,2324.0000000,,,,7.6095000,0.006,0.006,0,510.2950000,9.3200000,9.3200000,0,8868.7000000,809.8000000,809.8000000,0,,,,0,,,,0,2019-03-26 13:55:17,2020-05-20 16:00:02
1014.01,96246348,,06h54m14.78s,103.5616040,-34d13m22.16s,-34.2228210,-15.1000000,2.500,2.500,0,10.0000000,2.400,2.400,0,2458469.0299900,0.001080,0.001080,0,1.4094000,0.0000500,0.0000500,0,0.8820000,0.0680000,0.0680000,0,2840.0000000,2.6082400,2.6082400,0,,,,0,2041.4800000,,,,1872.0000000,,,,7.5380000,0.020,0.020,0,169.2050000,,,0,9307.0000000,938.9000000,938.9000000,0,,,,0,,,,0,2019-03-26 13:55:19,2020-05-20 16:00:02
1015.01,155044736,,08h11m35.03s,122.8959640,-27d58m18.83s,-27.9718960,1.5660000,0.052,0.052,0,-17.9740000,0.053,0.053,0,2458493.0806700,0.005230,0.005230,0,1.3725900,0.0003600,0.0003600,0,1.7940000,0.2940000,0.2940000,0,730.0000000,2.0262900,2.0262900,0,18.1328000,,,0,748.3910000,,,,1457.0000000,,,,10.7069000,0.008,0.008,0,906.4960000,28.8415000,28.8415000,0,4897.0000000,122.0000000,122.0000000,0,,,,0,6.8000000,,,0,2019-04-01 16:51:56,2020-05-20 16:00:02
1016.01,175310067,,07h44m26.59s,116.1107710,-36d05m53.83s,-36.0982850,-9.2310000,0.048,0.048,0,11.6140000,0.052,0.052,0,2458502.2638300,0.002490,0.002490,0,12.7090700,0.0006500,0.0006500,0,7.0460000,0.3570000,0.3570000,0,3940.0000000,507.8500000,507.8500000,0,19.5052000,3.8570200,3.8570200,0,3840.6000000,,,,2193.0000000,,,,10.6257000,0.006,0.006,0,368.6460000,3.7840000,3.7840000,0,7601.0000000,135.8000000,135.8000000,0,4.3100000,0.0800000,0.0800000,0,1.5400000,0.0500000,0.0500000,0,2019-04-01 16:52:03,2020-05-20 16:00:02
1017.01,182943944,FP,08h18m54.34s,124.7264110,-37d46m59.7s,-37.7832500,-11.2780000,0.045,0.045,0,9.5930000,0.045,0.045,0,2458518.9653320,0.001370,0.001370,0,1.1042200,0.0001300,0.0001300,0,2.3700000,0.0620000,0.0620000,0,14177.7001950,843.7880250,843.7880250,0,21.0448000,5.2201200,5.2201200,0,39459.3007810,,,,3926.0000000,,,,10.6019000,0.006,0.006,0,406.9970000,4.7245000,4.7245000,0,6995.2001950,157.0000000,157.0000000,0,4.0700000,0.5500000,0.5500000,0,1.6100000,0.0700000,0.0700000,0,2019-04-01 16:52:01,2019-12-17 10:00:02
1018.01,291555748,,07h26m51.84s,111.7160190,-50d15m59.64s,-50.2665670,-8.0180000,0.049,0.049,0,11.5600000,0.047,0.047,0,2458492.7807800,0.000730,0.000730,0,4.9591200,0.0001600,0.0001600,0,2.5090000,0.1300000,0.1300000,0,7440.0000000,197.9620000,197.9620000,0,22.9123000,3.2805500,3.2805500,0,673.5500000,,,,1419.0000000,,,,10.6254000,0.006,0.006,0,360.5410000,2.9645000,2.9645000,0,5889.0000000,124.3000000,124.3000000,0,3.8600000,0.0700000,0.0700000,0,2.0000000,0.0900000,0.0900000,0,2019-04-01 16:52:01,2020-05-20 16:00:02
1019.01,341420329,,08h00m35.52s,120.1479940,-54d52m42.79s,-54.8785520,-11.7320000,0.047,0.047,0,2.5860000,0.061,0.061,0,2458494.4361400,0.000250,0.000250,0,5.2341600,0.0000600,0.0000600,0,3.5440000,0.1420000,0.1420000,0,22240.0000000,3.3435400,3.3435400,0,23.8497000,0.7991530,0.7991530,0,1150.5400000,,,,1622.0000000,,,,10.6348000,0.006,0.006,0,399.5440000,4.1635000,4.1635000,0,7645.0000000,134.4000000,134.4000000,0,4.3000000,0.0800000,0.0800000,0,1.5600000,0.0500000,0.0500000,0,2019-04-01 16:51:56,2020-05-20 16:00:02
102.01,149603524,KP,05h48m33.56s,87.1398210,-63d59m17.98s,-63.9883290,-15.6410000,0.037,0.037,0,26.0460000,0.037,0.037,0,2459036.4008670,0.000211,0.000211,0,4.4119290,0.0000700,0.0000700,0,3.7686590,0.0168820,0.0168820,0,13903.5378180,71.7009800,71.7009800,0,14.5907690,0.6546720,0.6546720,0,673.7916610,,,,1299.4248190,,,,9.7109000,0.006,0.006,0,175.6310000,0.5880000,0.5880000,0,6280.0000000,,,0,4.3209200,,,0,1.2142700,0.0542210,0.0542210,0,2018-09-05 18:34:18,2020-10-12 10:00:02
1020.01,140706664,FP,08h33m31.67s,128.3819760,-43d49m42.32s,-43.8284210,-5.8140000,0.051,0.051,0,4.3280000,0.047,0.047,0,2458521.2911380,0.002410,0.002410,0,3.2889200,0.0006600,0.0006600,0,3.7930000,0.2020000,0.2020000,0,10518.9003910,530.6079710,530.6079710,0,,,,0,29832.5996090,,,,3661.0000000,,,,10.7173000,0.013,0.013,0,906.8270000,23.8635000,23.8635000,0,8734.2001950,283.6000060,283.6000060,0,4.1000000,1.4500000,1.4500000,0,,,,0,2019-04-01 16:52:03,2020-03-04 12:58:47
1021.01,143994283,FP,07h57m12.18s,119.3007500,-42d59m56.94s,-42.9991490,-3.2110000,0.046,0.046,0,-15.0820000,0.051,0.051,0,2458492.9042970,0.004260,0.004260,0,1.9087900,0.0003500,0.0003500,0,1.9090000,0.2310000,0.2310000,0,618.4819950,1.4377400,1.4377400,0,3.3468800,0.2177490,0.2177490,0,985.8070070,,,,1561.0000000,,,,10.5551000,0.006,0.006,0,235.9740000,1.5790000,1.5790000,0,6022.6000980,133.5000000,133.5000000,0,4.5200000,0.3900000,0.3900000,0,1.2200000,0.0500000,0.0500000,0,2019-04-01 16:51:58,2020-03-04 12:58:47
1022.01,47384844,,10h51m51.58s,162.9649100,-05d47m19.35s,-5.7887080,-15.7870000,0.090,0.090,0,-11.8490000,0.077,0.077,0,2458547.4479980,0.008340,0.008340,0,3.0957400,0.0067700,0.0067700,0,4.4750000,1.1960000,1.1960000,0,380.0000000,,,0,3.4262000,0.7787130,0.7787130,0,18087.9003910,,,,3230.0000000,,,,8.7292400,0.007,0.007,0,120.6660000,1.0680000,1.0680000,0,6084.0000000,111.0000000,111.0000000,0,4.1300000,0.3000000,0.3000000,0,1.4100000,0.0500000,0.0500000,0,2019-06-04 14:32:44,2019-12-19 12:00:22
1023.01,238374636,FP,08h03m21.05s,120.8376880,-51d20m44.25s,-51.3456260,-23.3660000,0.042,0.042,0,22.6520000,0.040,0.040,0,2458493.2054440,0.000610,0.000610,0,1.3238000,0.0000200,0.0000200,0,3.1620000,0.0240000,0.0240000,0,3450.0000000,221.1880040,221.1880040,0,20.8516010,3.8131700,3.8131700,0,13560.5000000,,,,3006.0000000,,,,9.6970000,0.006,0.006,0,316.3980000,2.2470000,2.2470000,0,5050.7998050,86.8000030,86.8000030,0,3.5600000,0.4000000,0.4000000,0,3.3700000,0.1100000,0.1100000,0,2019-06-11 14:45:02,2020-03-04 12:58:47
1024.01,141482386,,05h47m16.97s,86.8207140,-72d25m21.4s,-72.4226110,1.1280000,0.044,0.044,0,11.5630000,0.047,0.047,0,2458339.7227600,0.005920,0.005920,0,18.0163300,0.0005400,0.0005400,0,2.4790000,0.4230000,0.4230000,0,610.0000000,1.6470700,1.6470700,0,21.4334000,,,0,8.4065100,,,,474.0000000,,,,10.0814000,0.006,0.006,0,692.2660000,12.1130000,12.1130000,0,4709.0000000,122.0000000,122.0000000,0,,,,0,7.6100000,,,0,2019-06-11 14:45:00,2020-09-30 10:00:02
1025.01,297967252,,09h30m05.08s,142.5211590,-51d31m01.61s,-51.5171140,-19.1530000,0.168,0.168,0,11.0460000,0.178,0.178,0,2458545.1472800,0.001220,0.001220,0,9.6833700,0.0009300,0.0009300,0,2.3530000,0.0840000,0.0840000,0,3950.0000000,519.2900000,519.2900000,0,,,,0,921.2260000,,,,1534.0000000,,,,5.5324000,0.006,0.006,0,129.8380000,1.7130000,1.7130000,0,8598.7000000,1245.7000000,1245.7000000,0,,,,0,,,,0,2019-06-11 14:44:59,2020-05-20 16:00:02
1026.01,388624270,,08h21m44.31s,125.4346340,-51d45m33.99s,-51.7594420,47.2280000,0.047,0.047,0,-6.3250000,0.039,0.039,0,2458528.4176600,0.001430,0.001430,0,,,,0,7.8410000,0.3880000,0.3880000,0,8060.0000000,62.5090000,62.5090000,0,9.3414400,0.8697780,0.8697780,0,,,,,,,,,9.9138000,0.006,0.006,0,105.6770000,0.2575000,0.2575000,0,5690.0000000,129.0000000,129.0000000,0,4.5800000,0.0800000,0.0800000,0,0.8500000,0.0400000,0.0400000,0,2019-06-11 14:45:00,2020-05-20 16:00:02
